Nr;Titel Original;Titel Deutsch;Jahr;Regissure;Hauptdarsteller;Produktionsland;IMDB-Top 250;IMDb-Charts;Studio;Genre;Einspielergebnise;YT-Link Englisch;YT-Link Deutsch;App-Link;App-Link_Video-1_DE;App-Link_Video-1_EN;App-Link_Video-2_DE;App-Link_Video-2_EN;App-Link_Video-3_DE;App-Link_Video-3_EN;QR-Cod Pfad
032;The Avengers;Marvel's The Avengers;2012;Joss Whedon;Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson;USA;Ja;8;Marvel Studios;Science Fiction, Action, Abenteuer;$1,518,815,515;https://www.youtube.com/watch?v=eOrNdBpGMv8;https://www.youtube.com/watch?v=sBm77QeVQ9E;filmster://result?id=032;https://filmster.b-cdn.net/032/Filmster_032_DE_Video-1.mp4;https://filmster.b-cdn.net/032/Filmster_032_EN_Video-1.mp4;https://filmster.b-cdn.net/032/Filmster_032_DE_Video-2.mp4;https://filmster.b-cdn.net/032/Filmster_032_EN_Video-2.mp4;https://filmster.b-cdn.net/032/Filmster_032_DE_Video-3.mp4;https://filmster.b-cdn.net/032/Filmster_032_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_032_QR.png
033;The Incredibles;Die Unglaublichen;2004;Brad Bird;Craig T. Nelson, Holly Hunter, Sarah Vowell, Spencer Fox, Jason Lee;USA;Ja;8;Walt Disney Pictures;Action, Abenteuer, Animation, Familie;$631,442,092;https://www.youtube.com/watch?v=-UaGUdNJdRQ;https://www.youtube.com/watch?v=hBcr0Ll_AvY;filmster://result?id=033;https://filmster.b-cdn.net/033/Filmster_033_DE_Video-1.mp4;https://filmster.b-cdn.net/033/Filmster_033_EN_Video-1.mp4;https://filmster.b-cdn.net/033/Filmster_033_DE_Video-2.mp4;https://filmster.b-cdn.net/033/Filmster_033_EN_Video-2.mp4;https://filmster.b-cdn.net/033/Filmster_033_DE_Video-3.mp4;https://filmster.b-cdn.net/033/Filmster_033_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_033_QR.png
034;The Fate of the Furious;Fast & Furious 8;2017;F. Gary Gray;Vin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez, Tyrese Gibson;China, Japan, USA, Mexico;Nein;6,6;Original Film;Action, Krimi, Thriller;$1,236,000,000;https://www.youtube.com/watch?v=JwMKRevYa_M;https://www.youtube.com/watch?v=TXn3gLysX34;filmster://result?id=034;https://filmster.b-cdn.net/034/Filmster_034_DE_Video-1.mp4;https://filmster.b-cdn.net/034/Filmster_034_EN_Video-1.mp4;https://filmster.b-cdn.net/034/Filmster_034_DE_Video-2.mp4;https://filmster.b-cdn.net/034/Filmster_034_EN_Video-2.mp4;https://filmster.b-cdn.net/034/Filmster_034_DE_Video-3.mp4;https://filmster.b-cdn.net/034/Filmster_034_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_034_QR.png
035;Shrek 2;Shrek 2 - Der tollkühne Held kehrt zurück;2004;Conrad Vernon;Mike Myers, Eddie Murphy, Cameron Diaz, Julie Andrews, Antonio Banderas;USA;Nein;7,4;DreamWorks Animation;Animation, Familie, Komedie, Fantasy, Abenteuer;$935,454,538;https://www.youtube.com/watch?v=xBgSfhp5Fxo;https://www.youtube.com/watch?v=UP3yLEuCkp0;filmster://result?id=035;https://filmster.b-cdn.net/035/Filmster_035_DE_Video-1.mp4;https://filmster.b-cdn.net/035/Filmster_035_EN_Video-1.mp4;https://filmster.b-cdn.net/035/Filmster_035_DE_Video-2.mp4;https://filmster.b-cdn.net/035/Filmster_035_EN_Video-2.mp4;https://filmster.b-cdn.net/035/Filmster_035_DE_Video-3.mp4;;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_035_QR.png
036;Ice Age: Dawn of the Dinosaurs;Ice Age 3 - Die Dinosaurier sind los;2009;Carlos Saldanha;Ray Romano, John Leguizamo, Denis Leary, Queen Latifah, Simon Pegg;USA, UK, Canada;Nein;6,9;Blue Sky Studios;Animation, Komedie, Familie, Abenteuer;$886,686,817;https://www.youtube.com/watch?v=MnAi5u-k9NY;https://www.youtube.com/watch?v=UZFO-bK7JuI;filmster://result?id=036;https://filmster.b-cdn.net/036/Filmster_036_DE_Video-1.mp4;https://filmster.b-cdn.net/036/Filmster_036_EN_Video-1.mp4;https://filmster.b-cdn.net/036/Filmster_036_DE_Video-2.mp4;https://filmster.b-cdn.net/036/Filmster_036_EN_Video-2.mp4;https://filmster.b-cdn.net/036/Filmster_036_DE_Video-3.mp4;https://filmster.b-cdn.net/036/Filmster_036_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_036_QR.png
037;Skyfall;James Bond 007 - Skyfall;2012;Sam Mendes;Daniel Craig, Judi Dench, Javier Bardem, Ralph Fiennes, Naomie Harris;UK, USA, Turkey, China;Nein;7,8;Metro-Goldwyn-Mayer;Action, Abenteuer, Thriller;$1,108,594,176;https://www.youtube.com/watch?v=6kw1UVovByw;https://www.youtube.com/watch?v=xegi8pbWP00;filmster://result?id=037;https://filmster.b-cdn.net/037/Filmster_037_DE_Video-1.mp4;https://filmster.b-cdn.net/037/Filmster_037_EN_Video-1.mp4;https://filmster.b-cdn.net/037/Filmster_037_DE_Video-2.mp4;https://filmster.b-cdn.net/037/Filmster_037_EN_Video-2.mp4;https://filmster.b-cdn.net/037/Filmster_037_DE_Video-3.mp4;https://filmster.b-cdn.net/037/Filmster_037_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_037_QR.png
038;Spectre;James Bond 007 - Spectre;2015;Sam Mendes;Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes, Monica Bellucci;UK, USA, Morocco, Italy, Austria, Canada, Mexico;Nein;6,8;Metro-Goldwyn-Mayer;Action, Abenteuer, Thriller;$880,707,597;https://www.youtube.com/watch?v=ujmoYyEyDP8;https://www.youtube.com/watch?v=xZaZEQPSZd0;filmster://result?id=038;https://filmster.b-cdn.net/038/Filmster_038_DE_Video-1.mp4;https://filmster.b-cdn.net/038/Filmster_038_EN_Video-1.mp4;https://filmster.b-cdn.net/038/Filmster_038_DE_Video-2.mp4;https://filmster.b-cdn.net/038/Filmster_038_EN_Video-2.mp4;https://filmster.b-cdn.net/038/Filmster_038_DE_Video-3.mp4;https://filmster.b-cdn.net/038/Filmster_038_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_038_QR.png
039;Inside Out;Alles steht Kopf;2015;Pete Docter;Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader, Lewis Black;USA;Ja;8,1;Pixar;Animation, Familie, Abenteuer, Drama, Komedie;$857,611,174;https://www.youtube.com/watch?v=yRUAzGQ3nSY;https://www.youtube.com/watch?v=xhHkk1q04GA;filmster://result?id=039;https://filmster.b-cdn.net/039/Filmster_039_DE_Video-1.mp4;https://filmster.b-cdn.net/039/Filmster_039_EN_Video-1.mp4;https://filmster.b-cdn.net/039/Filmster_039_DE_Video-2.mp4;https://filmster.b-cdn.net/039/Filmster_039_EN_Video-2.mp4;https://filmster.b-cdn.net/039/Filmster_039_DE_Video-3.mp4;https://filmster.b-cdn.net/039/Filmster_039_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_039_QR.png
040;Zootopia;Zoomania;2016;Byron Howard;Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate, Nate Torrence;USA;Ja;8;Walt Disney Animation Studios;Animation, Abenteuer, Familie, Komedie;$1,023,784,195;https://www.youtube.com/watch?v=Y0c3nKWhlIA;https://www.youtube.com/watch?v=GIshH9EXIUA;filmster://result?id=040;https://filmster.b-cdn.net/040/Filmster_040_DE_Video-1.mp4;https://filmster.b-cdn.net/040/Filmster_040_EN_Video-1.mp4;https://filmster.b-cdn.net/040/Filmster_040_DE_Video-2.mp4;https://filmster.b-cdn.net/040/Filmster_040_EN_Video-2.mp4;https://filmster.b-cdn.net/040/Filmster_040_DE_Video-3.mp4;https://filmster.b-cdn.net/040/Filmster_040_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_040_QR.png
041;The Secret Life of Pets;Pets;2016;Chris Renaud;Louis C.K., Eric Stonestreet, Kevin Hart, Jenny Slate, Ellie Kemper;Japan, USA;Nein;6,5;Illumination;Familie, Komedie, Abenteuer, Animation;$875,457,937;https://www.youtube.com/watch?v=i-80SGWfEjM;https://www.youtube.com/watch?v=WlCBAMoTzq0;filmster://result?id=041;https://filmster.b-cdn.net/041/Filmster_041_DE_Video-1.mp4;https://filmster.b-cdn.net/041/Filmster_041_EN_Video-1.mp4;https://filmster.b-cdn.net/041/Filmster_041_DE_Video-2.mp4;https://filmster.b-cdn.net/041/Filmster_041_EN_Video-2.mp4;https://filmster.b-cdn.net/041/Filmster_041_DE_Video-3.mp4;https://filmster.b-cdn.net/041/Filmster_041_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_041_QR.png
042;Ice Age;Ice Age;2002;Chris Wedge;Ray Romano, John Leguizamo, Denis Leary, Goran Višnjić, Jack Black;USA;Nein;7,5;Blue Sky Studios;Animation, Komedie, Familie, Abenteuer;$383,257,136;https://www.youtube.com/watch?v=i4noiCRJRoE;https://www.youtube.com/watch?v=1SmUCMykPiE;filmster://result?id=042;https://filmster.b-cdn.net/042/Filmster_042_DE_Video-1.mp4;https://filmster.b-cdn.net/042/Filmster_042_EN_Video-1.mp4;https://filmster.b-cdn.net/042/Filmster_042_DE_Video-2.mp4;https://filmster.b-cdn.net/042/Filmster_042_EN_Video-2.mp4;;https://filmster.b-cdn.net/042/Filmster_042_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_042_QR.png
043;Aladdin;Aladdin;2019;Guy Ritchie;Will Smith, Mena Massoud, Naomi Scott, Marwan Kenzari, Navid Negahban;USA, UK, Singapore, Canada, Czech Republic, Serbia, China;Nein;6,9;Walt Disney Pictures;Abenteuer, Fantasy, Liebesfilm, Familie;$1,097,831,681;https://www.youtube.com/watch?v=-G5XI61Y9ms;https://www.youtube.com/watch?v=SWnRWV62T3s;filmster://result?id=043;https://filmster.b-cdn.net/043/Filmster_043_DE_Video-1.mp4;https://filmster.b-cdn.net/043/Filmster_043_EN_Video-1.mp4;https://filmster.b-cdn.net/043/Filmster_043_DE_Video-2.mp4;https://filmster.b-cdn.net/043/Filmster_043_EN_Video-2.mp4;https://filmster.b-cdn.net/043/Filmster_043_DE_Video-3.mp4;https://filmster.b-cdn.net/043/Filmster_043_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_043_QR.png
044;Moana;Vaiana;2016;John Musker;Auliʻi Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison, Jemaine Clement;USA;Nein;7,6;Walt Disney Pictures;Abenteuer, Komedie, Familie, Animation;$690,860,472;https://www.youtube.com/watch?v=LKFuXETZUsI;https://www.youtube.com/watch?v=emub1XwwGPU;filmster://result?id=044;https://filmster.b-cdn.net/044/Filmster_044_DE_Video-1.mp4;https://filmster.b-cdn.net/044/Filmster_044_EN_Video-1.mp4;https://filmster.b-cdn.net/044/Filmster_044_DE_Video-2.mp4;https://filmster.b-cdn.net/044/Filmster_044_EN_Video-2.mp4;https://filmster.b-cdn.net/044/Filmster_044_DE_Video-3.mp4;https://filmster.b-cdn.net/044/Filmster_044_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_044_QR.png
045;Joker;Joker;2019;Todd Phillips;Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen;USA, Canada, Australia;Ja;8,3;Warner Bros. Pictures;Krimi, Thriller, Drama;$1,078,958,629;https://www.youtube.com/watch?v=zAGVQLHvwOY;https://www.youtube.com/watch?v=OyTeEXmM_Mc;filmster://result?id=045;https://filmster.b-cdn.net/045/Filmster_045_DE_Video-1.mp4;https://filmster.b-cdn.net/045/Filmster_045_EN_Video-1.mp4;https://filmster.b-cdn.net/045/Filmster_045_DE_Video-2.mp4;https://filmster.b-cdn.net/045/Filmster_045_EN_Video-2.mp4;https://filmster.b-cdn.net/045/Filmster_045_DE_Video-3.mp4;https://filmster.b-cdn.net/045/Filmster_045_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_045_QR.png
046;Star Wars: The Rise of Skywalker;Star Wars: Der Aufstieg Skywalkers;2019;J.J. Abrams;Carrie Fisher, Mark Hamill, Daisy Ridley, Adam Driver, John Boyega;USA;Nein;N/A;Lucasfilm Ltd.;Abenteuer, Action, Science Fiction;$1,074,144,248;https://www.youtube.com/watch?v=8Qn_spdM5Zg;https://www.youtube.com/watch?v=gWniIFCKdOY;filmster://result?id=046;https://filmster.b-cdn.net/046/Filmster_046_DE_Video-1.mp4;https://filmster.b-cdn.net/046/Filmster_046_EN_Video-1.mp4;https://filmster.b-cdn.net/046/Filmster_046_DE_Video-2.mp4;https://filmster.b-cdn.net/046/Filmster_046_EN_Video-2.mp4;https://filmster.b-cdn.net/046/Filmster_046_DE_Video-3.mp4;https://filmster.b-cdn.net/046/Filmster_046_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_046_QR.png
047;Up;Oben;2009;Pete Docter;Ed Asner, Christopher Plummer, Jordan Nagai, Bob Peterson, Delroy Lindo;USA;Ja;8,3;Pixar;Animation, Komedie, Familie, Abenteuer;$735,099,082;https://www.youtube.com/watch?v=HWEW_qTLSEE;https://www.youtube.com/watch?v=GiKIZghXy0M;filmster://result?id=047;https://filmster.b-cdn.net/047/Filmster_047_DE_Video-1.mp4;https://filmster.b-cdn.net/047/Filmster_047_EN_Video-1.mp4;https://filmster.b-cdn.net/047/Filmster_047_DE_Video-2.mp4;https://filmster.b-cdn.net/047/Filmster_047_EN_Video-2.mp4;https://filmster.b-cdn.net/047/Filmster_047_DE_Video-3.mp4;https://filmster.b-cdn.net/047/Filmster_047_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_047_QR.png
048;Tangled;Rapunzel - Neu verföhnt;2010;Nathan Greno;Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman, M.C. Gainey;USA, Japan;Nein;7,7;Walt Disney Animation Studios;Animation, Familie, Abenteuer;$592,461,732;https://www.youtube.com/watch?v=2f516ZLyC6U;https://www.youtube.com/watch?v=RB-mzrCSPLY;filmster://result?id=048;https://filmster.b-cdn.net/048/Filmster_048_DE_Video-1.mp4;https://filmster.b-cdn.net/048/Filmster_048_EN_Video-1.mp4;https://filmster.b-cdn.net/048/Filmster_048_DE_Video-2.mp4;https://filmster.b-cdn.net/048/Filmster_048_EN_Video-2.mp4;https://filmster.b-cdn.net/048/Filmster_048_DE_Video-3.mp4;https://filmster.b-cdn.net/048/Filmster_048_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_048_QR.png
049;Monsters, Inc.;Die Monster AG;2001;Pete Docter;John Goodman, Billy Crystal, Mary Gibbs, Steve Buscemi, James Coburn;USA;Ja;8,1;Pixar;Animation, Komedie, Familie;$579,700,000;https://www.youtube.com/watch?v=CGbgaHoapFM;https://www.youtube.com/watch?v=2N3PsXPdkmM;filmster://result?id=049;https://filmster.b-cdn.net/049/Filmster_049_DE_Video-1.mp4;https://filmster.b-cdn.net/049/Filmster_049_EN_Video-1.mp4;https://filmster.b-cdn.net/049/Filmster_049_DE_Video-2.mp4;https://filmster.b-cdn.net/049/Filmster_049_EN_Video-2.mp4;https://filmster.b-cdn.net/049/Filmster_049_DE_Video-3.mp4;https://filmster.b-cdn.net/049/Filmster_049_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_049_QR.png
050;Cars;Cars;2006;John Lasseter;Owen Wilson, Paul Newman, Bonnie Hunt, Larry the Cable Guy, Cheech Marin;USA;Nein;7,3;Pixar;Animation, Abenteuer, Komedie, Familie;$461,983,149;https://www.youtube.com/watch?v=W_H7_tDHFE8;https://www.youtube.com/watch?v=OqCxtTNPLT0;filmster://result?id=050;https://filmster.b-cdn.net/050/Filmster_050_DE_Video-1.mp4;https://filmster.b-cdn.net/050/Filmster_050_EN_Video-1.mp4;https://filmster.b-cdn.net/050/Filmster_050_DE_Video-2.mp4;https://filmster.b-cdn.net/050/Filmster_050_EN_Video-2.mp4;https://filmster.b-cdn.net/050/Filmster_050_DE_Video-3.mp4;https://filmster.b-cdn.net/050/Filmster_050_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_050_QR.png
051;Taxi Driver;Taxi Driver;1976;Martin Scorsese;Robert De Niro, Jodie Foster, Cybill Shepherd, Harvey Keitel, Peter Boyle;USA;Ja;8,2;Italo/Judeo Productions;Krimi, Drama;$28,579,636;https://www.youtube.com/watch?v=T5IligQP7Fo;https://www.youtube.com/watch?v=mYhB9mLSFb4;filmster://result?id=051;https://filmster.b-cdn.net/051/Filmster_051_DE_Video-1.mp4;https://filmster.b-cdn.net/051/Filmster_051_EN_Video-1.mp4;https://filmster.b-cdn.net/051/Filmster_051_DE_Video-2.mp4;https://filmster.b-cdn.net/051/Filmster_051_EN_Video-2.mp4;https://filmster.b-cdn.net/051/Filmster_051_DE_Video-3.mp4;https://filmster.b-cdn.net/051/Filmster_051_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_051_QR.png
052;Apocalypse Now;Apocalypse Now;1979;Francis Ford Coppola;Martin Sheen, Marlon Brando, Frederic Forrest, Albert Hall, Laurence Fishburne;USA;Ja;8,4;United Artists;Drama, Kriegsfilm;$150,000,000;https://www.youtube.com/watch?v=9l-ViOOFH-s;https://www.youtube.com/watch?v=iQGqEQekPfc;filmster://result?id=052;https://filmster.b-cdn.net/052/Filmster_052_DE_Video-1.mp4;https://filmster.b-cdn.net/052/Filmster_052_EN_Video-1.mp4;https://filmster.b-cdn.net/052/Filmster_052_DE_Video-2.mp4;https://filmster.b-cdn.net/052/Filmster_052_EN_Video-2.mp4;https://filmster.b-cdn.net/052/Filmster_052_DE_Video-3.mp4;https://filmster.b-cdn.net/052/Filmster_052_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_052_QR.png
053;Blade Runner;Der Blade Runner;1982;Ridley Scott;Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, M. Emmet Walsh;USA, UK;Ja;8,1;Shaw Brothers;Science Fiction, Drama, Thriller;$41,722,424;https://www.youtube.com/watch?v=eogpIG53Cis;https://www.youtube.com/watch?v=1E1Am3M6vlE;filmster://result?id=053;https://filmster.b-cdn.net/053/Filmster_053_DE_Video-1.mp4;https://filmster.b-cdn.net/053/Filmster_053_EN_Video-1.mp4;https://filmster.b-cdn.net/053/Filmster_053_DE_Video-2.mp4;https://filmster.b-cdn.net/053/Filmster_053_EN_Video-2.mp4;https://filmster.b-cdn.net/053/Filmster_053_DE_Video-3.mp4;https://filmster.b-cdn.net/053/Filmster_053_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_053_QR.png
054;Goodfellas;GoodFellas;1990;Martin Scorsese;Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco, Paul Sorvino;USA;Ja;8,7;Winkler Films;Drama, Krimi;$46,800,000;https://www.youtube.com/watch?v=2ilzidi_J8Q;https://www.youtube.com/watch?v=HiYaKX88Nt8;filmster://result?id=054;https://filmster.b-cdn.net/054/Filmster_054_DE_Video-1.mp4;https://filmster.b-cdn.net/054/Filmster_054_EN_Video-1.mp4;;https://filmster.b-cdn.net/054/Filmster_054_EN_Video-2.mp4;;https://filmster.b-cdn.net/054/Filmster_054_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_054_QR.png
055;Pulp Fiction;Pulp Fiction;1994;Quentin Tarantino;John Travolta, Samuel L. Jackson, Uma Thurman, Bruce Willis, Ving Rhames;USA;Ja;8,8;Miramax;Thriller, Krimi, Komedie;$213,928,762;https://www.youtube.com/watch?v=s7EdQ4FqbhY;https://www.youtube.com/watch?v=pY2C98CWj8k;filmster://result?id=055;https://filmster.b-cdn.net/055/Filmster_055_DE_Video-1.mp4;https://filmster.b-cdn.net/055/Filmster_055_EN_Video-1.mp4;https://filmster.b-cdn.net/055/Filmster_055_DE_Video-2.mp4;https://filmster.b-cdn.net/055/Filmster_055_EN_Video-2.mp4;https://filmster.b-cdn.net/055/Filmster_055_DE_Video-3.mp4;https://filmster.b-cdn.net/055/Filmster_055_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_055_QR.png
056;The Big Lebowski;The Big Lebowski;1998;Joel Coen;Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi, David Huddleston;UK, USA;Ja;8,1;PolyGram Filmed Entertainment;Komedie, Krimi;$47,010,480;https://www.youtube.com/watch?v=cd-go0oBF4Y;https://www.youtube.com/watch?v=igc3LWlOoj4;filmster://result?id=056;https://filmster.b-cdn.net/056/Filmster_056_DE_Video-1.mp4;https://filmster.b-cdn.net/056/Filmster_056_EN_Video-1.mp4;https://filmster.b-cdn.net/056/Filmster_056_DE_Video-2.mp4;https://filmster.b-cdn.net/056/Filmster_056_EN_Video-2.mp4;https://filmster.b-cdn.net/056/Filmster_056_DE_Video-3.mp4;https://filmster.b-cdn.net/056/Filmster_056_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_056_QR.png
057;Fight Club;Fight Club;1999;David Fincher;Edward Norton, Brad Pitt, Helena Bonham Carter, Meat Loaf, Jared Leto;USA, Germany;Ja;8,8;Fox 2000 Pictures;Drama;$100,853,753;https://www.youtube.com/watch?v=qtRKdVHc-cE;https://www.youtube.com/watch?v=QW9wNFpLYiY;filmster://result?id=057;https://filmster.b-cdn.net/057/Filmster_057_DE_Video-1.mp4;https://filmster.b-cdn.net/057/Filmster_057_EN_Video-1.mp4;https://filmster.b-cdn.net/057/Filmster_057_DE_Video-2.mp4;https://filmster.b-cdn.net/057/Filmster_057_EN_Video-2.mp4;https://filmster.b-cdn.net/057/Filmster_057_DE_Video-3.mp4;https://filmster.b-cdn.net/057/Filmster_057_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_057_QR.png
058;Donnie Darko;Donnie Darko;2001;Richard Kelly;Jake Gyllenhaal, Jena Malone, James Duval, Drew Barrymore, Beth Grant;USA;Ja;8;Flower Films;Fantasy, Drama, Mystery;$7,500,000;https://www.youtube.com/watch?v=bzLn8sYeM9o;https://www.youtube.com/watch?v=WN1n9zZZLPQ;filmster://result?id=058;https://filmster.b-cdn.net/058/Filmster_058_DE_Video-1.mp4;https://filmster.b-cdn.net/058/Filmster_058_EN_Video-1.mp4;https://filmster.b-cdn.net/058/Filmster_058_DE_Video-2.mp4;https://filmster.b-cdn.net/058/Filmster_058_EN_Video-2.mp4;https://filmster.b-cdn.net/058/Filmster_058_DE_Video-3.mp4;https://filmster.b-cdn.net/058/Filmster_058_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_058_QR.png
059;Requiem for a Dream;Requiem for a Dream;2000;Darren Aronofsky;Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans, Christopher McDonald;USA;Ja;8,3;Artisan Entertainment;Krimi, Drama;$7,390,108;https://www.youtube.com/watch?v=QBwzN4v1vA0;https://www.youtube.com/watch?v=yKn1DaBAZRg;filmster://result?id=059;https://filmster.b-cdn.net/059/Filmster_059_DE_Video-1.mp4;https://filmster.b-cdn.net/059/Filmster_059_EN_Video-1.mp4;https://filmster.b-cdn.net/059/Filmster_059_DE_Video-2.mp4;https://filmster.b-cdn.net/059/Filmster_059_EN_Video-2.mp4;;;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_059_QR.png
060;The Truman Show;Die Truman Show;1998;Peter Weir;Jim Carrey, Laura Linney, Noah Emmerich, Natascha McElhone, Holland Taylor;USA;Ja;8,2;Paramount Pictures;Komedie, Drama;$264,100,000;https://www.youtube.com/watch?v=dlnmQbPGuls;https://www.youtube.com/watch?v=0N02Cgx4EMU;filmster://result?id=060;https://filmster.b-cdn.net/060/Filmster_060_DE_Video-1.mp4;https://filmster.b-cdn.net/060/Filmster_060_EN_Video-1.mp4;https://filmster.b-cdn.net/060/Filmster_060_DE_Video-2.mp4;https://filmster.b-cdn.net/060/Filmster_060_EN_Video-2.mp4;https://filmster.b-cdn.net/060/Filmster_060_DE_Video-3.mp4;https://filmster.b-cdn.net/060/Filmster_060_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_060_QR.png
061;Trainspotting;Trainspotting - Neue Helden;1996;Danny Boyle;Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd, Robert Carlyle;UK, USA;Ja;8,1;Figment Films;Drama, Krimi;$71,981,823;https://www.youtube.com/watch?v=8LuxOYIpu-I;https://www.youtube.com/watch?v=AICajPaEm2g;filmster://result?id=061;https://filmster.b-cdn.net/061/Filmster_061_DE_Video-1.mp4;https://filmster.b-cdn.net/061/Filmster_061_EN_Video-1.mp4;https://filmster.b-cdn.net/061/Filmster_061_DE_Video-2.mp4;https://filmster.b-cdn.net/061/Filmster_061_EN_Video-2.mp4;https://filmster.b-cdn.net/061/Filmster_061_DE_Video-3.mp4;https://filmster.b-cdn.net/061/Filmster_061_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_061_QR.png
